,name,score,var
0,Accountants and Auditors,1.0170183181762695,0.31688612699508667
1,Actors,0.8192251324653625,0.24006099998950958
2,Actuaries,1.1180871725082397,0.37609395384788513
3,Acupuncturists,0.8302857875823975,0.2243916541337967
4,Acute Care Nurses,0.9223561882972717,0.2551462650299072
5,Adapted Physical Education Specialists,0.9687082767486572,0.2947782278060913
6,Adhesive Bonding Machine Operators and Tenders,0.3620867431163788,0.10238851606845856
7,"Administrative Law Judges, Adjudicators, and Hearing Officers",1.0222455263137817,0.3368430733680725
8,Administrative Services Managers,0.9184182286262512,0.2584246098995209
9,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",0.9764176607131958,0.31463584303855896
10,Advanced Practice Psychiatric Nurses,1.0828708410263062,0.36747896671295166
11,Advertising Sales Agents,0.8710466027259827,0.24498039484024048
12,Advertising and Promotions Managers,1.066710352897644,0.3430390954017639
13,Aerospace Engineering and Operations Technologists and Technicians,0.5768792033195496,0.1349453181028366
14,Aerospace Engineers,1.0565080642700195,0.3454734981060028
15,"Agents and Business Managers of Artists, Performers, and Athletes",0.9828455448150635,0.3192577362060547
16,Agricultural Engineers,0.9246281385421753,0.25589731335639954
17,Agricultural Equipment Operators,0.2579452097415924,0.09926391392946243
18,Agricultural Inspectors,0.8325172662734985,0.21724022924900055
19,"Agricultural Sciences Teachers, Postsecondary",1.0615909099578857,0.3425613045692444
20,Agricultural Technicians,0.7415033578872681,0.18056327104568481
21,Air Traffic Controllers,0.8483983874320984,0.22062698006629944
22,Aircraft Cargo Handling Supervisors,0.692791223526001,0.16118906438350677
23,Aircraft Mechanics and Service Technicians,0.39170172810554504,0.11501839011907578
24,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",0.49212878942489624,0.11282555013895035
25,Airfield Operations Specialists,0.8184613585472107,0.2127823680639267
26,"Airline Pilots, Copilots, and Flight Engineers",0.7457885146141052,0.18643683195114136
27,Allergists and Immunologists,1.0969743728637695,0.36666762828826904
28,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",0.5767437219619751,0.13507477939128876
29,Amusement and Recreation Attendants,0.499283105134964,0.12148287892341614
30,Anesthesiologist Assistants,0.702213704586029,0.16791053116321564
31,Anesthesiologists,0.9815549254417419,0.2874174416065216
32,Animal Breeders,0.6353290677070618,0.14748595654964447
33,Animal Caretakers,0.599967896938324,0.1384415328502655
34,Animal Control Workers,0.7309157848358154,0.1883106529712677
35,Animal Scientists,1.037203311920166,0.3245282471179962
36,Animal Trainers,0.8030786514282227,0.20966963469982147
37,Anthropologists and Archeologists,1.0371540784835815,0.3279244899749756
38,"Anthropology and Archeology Teachers, Postsecondary",1.1858713626861572,0.43717312812805176
39,Appraisers and Assessors of Real Estate,0.8387628793716431,0.2207767367362976
40,"Arbitrators, Mediators, and Conciliators",1.0142194032669067,0.3466833233833313
41,"Architects, Except Landscape and Naval",1.0377134084701538,0.3173633813858032
42,Architectural and Civil Drafters,0.8470739722251892,0.22281679511070251
43,Architectural and Engineering Managers,1.0230021476745605,0.30353328585624695
44,"Architecture Teachers, Postsecondary",1.1002581119537354,0.3673818111419678
45,Archivists,0.9054394960403442,0.2547239661216736
46,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",1.0799851417541504,0.36064252257347107
47,Art Directors,0.9177875518798828,0.2526259422302246
48,Art Therapists,1.0077992677688599,0.3198554217815399
49,"Art, Drama, and Music Teachers, Postsecondary",1.0312682390213013,0.33021873235702515
50,Astronomers,1.0455336570739746,0.3260806202888489
51,Athletes and Sports Competitors,0.7570196986198425,0.19240882992744446
52,Athletic Trainers,0.8969347476959229,0.24970747530460358
53,Atmospheric and Space Scientists,1.102042555809021,0.37401431798934937
54,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",1.162113904953003,0.4123675227165222
55,Audio and Video Technicians,0.5214073657989502,0.11693068593740463
56,Audiologists,0.862980842590332,0.22597751021385193
57,Audiovisual Equipment Installers and Repairers,0.49238041043281555,0.10917447507381439
58,Automotive Body and Related Repairers,0.3784487545490265,0.09652632474899292
59,Automotive Engineering Technicians,0.5297234058380127,0.1218252032995224
60,Automotive Engineers,0.9574918150901794,0.27809712290763855
61,Automotive Glass Installers and Repairers,0.4100990891456604,0.1014537364244461
62,Automotive Service Technicians and Mechanics,0.3718622922897339,0.10308092832565308
63,Automotive and Watercraft Service Attendants,0.424689918756485,0.10496308654546738
64,Aviation Inspectors,0.629671037197113,0.15359002351760864
65,Avionics Technicians,0.4652322828769684,0.11953417211771011
66,Baggage Porters and Bellhops,0.5527245402336121,0.13392391800880432
67,Bailiffs,0.6566097140312195,0.1770734339952469
68,Bakers,0.6149173378944397,0.1397348940372467
69,Barbers,0.48180902004241943,0.11291390657424927
70,Baristas,0.49294722080230713,0.11940784752368927
71,Bartenders,0.7383474111557007,0.19197072088718414
72,Bicycle Repairers,0.4058787226676941,0.1039896234869957
73,Bill and Account Collectors,0.8017140030860901,0.2223227620124817
74,Billing and Posting Clerks,0.6751895546913147,0.16207392513751984
75,Biochemists and Biophysicists,1.0220433473587036,0.326215535402298
76,Bioengineers and Biomedical Engineers,0.9190759062767029,0.25837722420692444
77,Biofuels Processing Technicians,0.5109877586364746,0.12546321749687195
78,Biofuels Production Managers,0.8771017789840698,0.22891975939273834
79,Biofuels/Biodiesel Technology and Product Development Managers,0.8424939513206482,0.21804963052272797
80,Bioinformatics Scientists,1.0433779954910278,0.3282340168952942
81,Bioinformatics Technicians,0.9446505308151245,0.2759050726890564
